rank,date,ticker,name,isin,market,trade_republic_status,previous_open,previous_close,previous_high,previous_low,body,body_pct,last_volume,avg_volume_20d,relative_volume,return_5d,return_10d,return_20d,atr_14,atr_pct,close_position,distance_to_20d_high_pct,gap_pct,score,classification,news_check,notes
6,2026-05-20,ULVR.L,Unilever,GB00B10RZP78,United Kingdom,Disponible,3648.5,4249.0,4935.5,3648.5,600.5,16.46,584375,7487897.75,0.08,0.35,-2.67,0.73,180.32,4.24,0.47,16.16,N/A,55.56,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
6,2026-05-20,TOL,Toll Brothers,N/A,USA,Disponible,128.54,136.31,136.41,126.55,7.77,6.04,1942800,1036005.0,1.88,2.58,-3.74,-7.91,4.73,3.47,0.99,10.04,N/A,66.67,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
7,2026-05-20,BA.L,BAE Systems,N/A,United Kingdom,Disponible,1655.0,1897.34,1905.5,1655.0,242.34,14.64,362632,6029718.85,0.06,-1.66,-9.24,-11.59,94.11,4.96,0.97,14.13,N/A,55.56,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
7,2026-05-20,LUV,Southwest Airlines,N/A,USA,Disponible,37.67,39.7,40.09,37.44,2.03,5.39,7901600,6979670.0,1.13,0.74,-4.34,0.89,1.57,3.96,0.85,6.78,N/A,66.67,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
8,2026-05-20,CCL,Carnival,N/A,USA,Disponible,24.0,26.03,26.34,23.45,2.03,8.46,49156000,30528140.0,1.61,4.0,-5.41,-3.38,1.21,4.64,0.89,7.76,-0.77,63.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos.
9,2026-05-20,SMCI,Super Micro Computer,US86800U1043,USA,Disponible,31.09,33.46,33.96,30.87,2.37,7.62,38027700,39084185.0,0.97,4.56,-3.46,14.67,2.48,7.42,0.84,8.7,N/A,61.11,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
10,2026-05-20,LULU,Lululemon Athletica,N/A,USA,Disponible,118.53,125.19,125.31,116.63,6.66,5.62,3349800,3714040.0,0.9,3.28,-5.19,-23.41,3.99,3.18,0.99,21.48,N/A,55.56,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
1,2026-05-19,LLY,Eli Lilly,US5324571083,USA,Disponible,989.51,1021.41,1021.8,984.6,31.9,3.22,3792500,3452100.0,1.1,3.19,3.29,13.11,34.28,3.36,0.99,0.14,N/A,70.0,Media prioridad,Pendiente revisión manual,buen cuerpo alcista. cierre cerca de maximos. gap no disponible.
2,2026-05-19,TGT,Target,N/A,USA,Disponible,122.78,127.24,127.49,120.25,4.46,3.63,10527100,4837490.0,2.18,4.47,-1.23,-3.68,3.98,3.13,0.97,4.15,N/A,67.78,Media prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo alto. cierre cerca de maximos. gap no disponible.
3,2026-05-19,WLN.PA,Worldline,N/A,France,Disponible,0.3,0.32,0.32,0.3,0.0,6.93,17181218,23275499.55,0.74,20.11,29.29,7.47,0.0,6.84,0.89,1.83,N/A,72.22,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
4,2026-05-19,LSEG.L,London Stock Exchange Group,N/A,United Kingdom,Disponible,8196.0,9454.0,9454.0,8196.0,1258.0,15.35,323056,1455521.45,0.22,1.22,-1.21,0.53,324.97,3.43,1.0,7.26,N/A,66.67,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
4,2026-05-19,TXN,Texas Instruments,US8825081040,USA,Disponible,292.61,302.31,305.5,291.95,9.7,3.31,7295000,9062305.0,0.8,2.42,7.58,29.66,10.24,3.39,0.76,2.64,0.71,63.0,Media prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil.
8,2026-05-19,MU,Micron Technology,US5951121038,USA,Disponible,665.58,698.74,725.95,652.21,33.16,4.98,61450300,50456560.0,1.22,-8.85,9.14,55.49,60.9,8.72,0.63,17.16,3.9,55.0,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista.
9,2026-05-19,CAP.PA,Capgemini,N/A,France,Disponible,100.85,106.15,106.5,100.8,5.3,5.26,207860,678956.6,0.31,7.01,0.66,-2.53,3.91,3.69,0.94,4.57,N/A,58.89,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
9,2026-05-19,HD,Home Depot,US4370761029,USA,Disponible,291.87,302.44,303.19,289.1,10.57,3.62,8682700,4874110.0,1.78,-2.58,-4.12,-12.06,8.08,2.67,0.95,14.15,N/A,48.89,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. cierre cerca de maximos. gap no disponible.
10,2026-05-19,IDR.MC,Indra Sistemas,N/A,Spain,Disponible,49.05,51.62,52.84,48.9,2.57,5.24,662393,1289521.3,0.51,1.06,-1.34,-5.77,2.27,4.4,0.69,7.67,N/A,52.22,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. gap no disponible.
10,2026-05-19,INTC,Intel,US4581401001,USA,Disponible,106.98,110.8,113.07,102.4,3.82,3.57,149436900,162455520.0,0.92,-8.13,2.45,67.22,9.75,8.8,0.79,19.81,4.33,45.0,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil.
1,2026-05-18,NOW,ServiceNow,US81762P1021,USA,N/A,98.86,103.91,103.94,97.85,5.05,5.11,33470280,29015556.95,1.15,13.49,12.9,4.12,4.81,4.63,1.0,0.56,N/A,77.78,Alta prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
1,2026-05-18,SNOW,Snowflake,US8334451098,USA,Disponible,156.7,164.24,165.28,155.19,7.54,4.81,10712200,7075520.0,1.51,8.41,13.89,9.17,8.19,4.99,0.9,0.63,0.62,78.0,Alta prioridad,Pendiente revisión manual,buen cuerpo alcista. cierre cerca de maximos.
1,2026-05-18,MDB,MongoDB,N/A,USA,Disponible,311.91,330.0,339.97,309.4,18.09,5.8,2689000,1594540.0,1.69,12.0,24.67,24.95,17.62,5.34,0.67,3.02,0.91,80.0,Alta prioridad,Pendiente revisión manual,fuerte vela alcista.
2,2026-05-18,PUB.PA,Publicis Groupe,N/A,France,Pendiente validar,77.42,81.74,81.74,77.4,4.32,5.58,1112071,600494.05,1.85,3.97,2.28,1.87,1.98,2.43,1.0,1.03,N/A,73.33,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
2,2026-05-18,CRWD,CrowdStrike,US22788C1053,USA,Disponible,589.5,618.83,621.05,587.37,29.34,4.98,4692500,2919040.0,1.61,14.12,31.88,42.87,24.25,3.92,0.93,0.36,N/A,75.56,Alta prioridad,Pendiente revisión manual,buen cuerpo alcista. cierre cerca de maximos. gap no disponible.
2,2026-05-18,FICO,Fair Isaac,N/A,USA,Disponible,1094.21,1181.82,1185.16,1094.21,87.61,8.01,429200,413175.0,1.04,8.23,11.49,11.13,52.28,4.42,0.96,0.28,N/A,72.22,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
3,2026-05-18,GOOGL,Alphabet,US02079K3059,USA,N/A,395.84,401.08,408.61,394.53,5.24,1.32,15628971,27618436.0,0.57,3.47,4.92,19.17,11.63,2.89,0.47,1.88,N/A,43.33,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
4,2026-05-18,MSFT,Microsoft,US5949181045,USA,N/A,416.1,419.79,424.16,415.61,3.69,0.89,14901186,33927778.35,0.44,2.21,1.98,0.89,11.45,2.71,0.49,3.31,N/A,41.11,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
4,2026-05-18,WPP.L,WPP,N/A,United Kingdom,Pendiente validar,260.5,274.8,276.1,259.7,14.3,5.49,4121877,4601420.95,0.9,1.74,3.46,1.31,10.89,3.96,0.92,3.29,N/A,70.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
5,2026-05-18,PLTR,Palantir,US69608A1088,USA,N/A,132.51,133.2,135.94,131.33,0.69,0.52,18809215,43665820.45,0.43,-1.93,-8.07,-7.98,5.8,4.32,0.41,14.62,0.79,33.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario.
5,2026-05-18,INTU,Intuit,US4612021034,USA,N/A,391.5,404.33,407.76,387.52,12.83,3.28,1232546,2497646.9,0.49,2.64,-0.82,-0.29,17.58,4.36,0.83,3.63,N/A,51.11,Baja prioridad,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
5,2026-05-18,CTSH,Cognizant Technology Solutions,N/A,USA,Disponible,47.96,51.4,51.5,47.31,3.44,7.17,15303400,7710825.0,1.98,4.37,-0.89,-14.7,2.08,4.04,0.98,20.35,N/A,66.67,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
6,2026-05-18,AMZN,Amazon,US0231351067,USA,N/A,263.86,264.68,268.85,262.53,0.81,0.31,19749816,44834859.4,0.44,-1.43,-2.54,6.79,7.32,2.76,0.34,5.25,N/A,26.67,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario. gap no disponible.
6,2026-05-18,CRM,Salesforce,US79466L3024,USA,N/A,172.89,178.9,180.78,171.8,6.0,3.47,7914342,11889641.35,0.67,0.67,-3.67,-4.08,7.25,4.06,0.79,8.2,N/A,44.44,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
6,2026-05-18,WLN.PA,Worldline,N/A,France,Pendiente validar,0.28,0.29,0.29,0.27,0.0,5.86,25158622,23546185.15,1.07,13.4,13.05,-3.81,0.0,7.6,0.92,10.08,-1.02,63.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos.
6,2026-05-18,RBLX,Roblox,N/A,USA,Disponible,42.82,46.98,47.6,42.65,4.16,9.72,16117500,14595670.0,1.1,13.73,-1.24,-24.02,3.45,7.35,0.87,37.12,N/A,61.11,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
7,2026-05-18,NFLX,Netflix,US64110L1061,USA,N/A,86.4,89.68,89.82,86.33,3.28,3.79,20922013,35479286.25,0.59,4.89,-1.53,-5.49,2.44,2.72,0.96,5.6,N/A,43.33,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
7,2026-05-18,TTD,The Trade Desk,N/A,USA,Disponible,20.99,22.27,22.58,20.99,1.28,6.1,20444400,19269140.0,1.06,3.49,-7.59,-7.4,1.32,5.92,0.81,11.67,N/A,61.11,Media prioridad,Pendiente revisión manual,fuerte vela alcista. cierre cerca de maximos. gap no disponible.
8,2026-05-18,SHOP,Shopify,CA82509L1076,USA,N/A,99.12,102.4,102.52,98.7,3.28,3.31,4705132,13090325.8,0.36,-0.13,-19.71,-24.22,6.24,6.09,0.97,34.08,N/A,42.22,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
8,2026-05-18,DTE.DE,Deutsche Telekom,DE0005557508,Germany,Pendiente validar,27.39,28.79,28.79,27.31,1.4,5.11,7083781,7307689.55,0.97,4.31,6.59,-2.7,0.68,2.35,1.0,3.33,N/A,60.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
8,2026-05-18,ACN,Accenture,N/A,USA,Disponible,167.75,177.55,177.55,165.87,9.8,5.84,5363900,5855800.0,0.92,3.02,-1.43,-8.98,7.33,4.13,1.0,12.38,1.43,60.0,Media prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos.
9,2026-05-18,AIR.PA,Airbus,NL0000235190,France,N/A,165.5,170.38,172.14,164.74,4.88,2.95,1305197,1429757.2,0.91,-2.91,-3.29,-5.07,6.15,3.61,0.76,12.64,N/A,38.89,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
10,2026-05-18,ADYEN.AS,Adyen,NL0012969182,Netherlands,N/A,880.0,909.3,919.0,875.6,29.3,3.33,86461,129632.6,0.67,-1.27,-6.33,-7.68,35.41,3.89,0.78,11.93,N/A,27.78,Descartar,Pendiente revisión manual,buen cuerpo alcista. volumen relativo debil. gap no disponible.
10,2026-05-18,LYFT,Lyft,N/A,USA,N/A,12.85,13.62,13.69,12.84,0.76,5.95,11739013,14583823.4,0.8,-1.84,-3.17,-5.58,0.59,4.32,0.91,10.83,N/A,50.0,Baja prioridad,Pendiente revisión manual,fuerte vela alcista. volumen relativo debil. cierre cerca de maximos. gap no disponible.
1,2026-05-15,AAPL,Apple,US0378331005,USA,N/A,297.9,300.23,303.2,296.52,2.33,0.78,54721100,48393105.0,1.13,2.36,7.17,11.1,6.67,2.22,0.56,0.99,-0.13,51.0,Baja prioridad,N/A,cuerpo alcista reducido.
2,2026-05-15,MSFT,Microsoft,US5949181045,USA,N/A,414.27,421.92,428.17,412.91,7.65,1.85,50310800,34516840.0,1.46,1.64,1.8,-0.21,11.41,2.7,0.59,2.79,-0.53,44.0,Descartar,N/A,cuerpo alcista reducido.
3,2026-05-15,SHOP,Shopify,CA82509L1076,USA,N/A,97.5,100.28,101.45,96.0,2.78,2.85,15842200,13135385.0,1.21,-9.17,-21.45,-23.54,6.34,6.32,0.79,36.92,-0.29,43.0,Descartar,N/A,buen cuerpo alcista.
4,2026-05-15,GOOGL,Alphabet,US02079K3059,USA,N/A,396.32,396.78,399.54,393.18,0.46,0.12,20205600,27741950.0,0.73,-1.0,2.88,16.13,11.07,2.79,0.57,1.74,-0.38,41.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil.
5,2026-05-15,AMZN,Amazon,US0231351067,USA,N/A,262.5,264.14,264.36,260.89,1.64,0.62,40672200,45770140.0,0.89,-3.13,-1.54,5.42,7.19,2.72,0.94,5.46,-0.59,37.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
6,2026-05-15,UBER,Uber,US90353T1007,USA,N/A,74.31,75.09,75.56,73.63,0.78,1.05,16234200,17027325.0,0.95,-0.48,0.0,-2.63,2.63,3.51,0.75,7.64,-0.12,33.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil.
7,2026-05-15,META,Meta Platforms,US30303M1027,USA,N/A,613.99,614.23,621.2,609.31,0.24,0.0,13208700,15844755.0,0.83,0.75,0.9,-10.79,17.27,2.81,0.41,11.26,-0.62,32.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre lejos del maximo diario.
8,2026-05-15,PLTR,Palantir,US69608A1088,USA,N/A,132.8,133.99,135.64,132.29,1.19,0.9,32344600,44349015.0,0.73,-2.76,-7.0,-8.47,5.72,4.27,0.51,13.95,-0.69,30.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil.
1,2026-05-13,GOOGL,Alphabet,US02079K3059,USA,N/A,385.37,400.75,401.0,385.01,15.38,3.99,13515921,27257072.45,0.5,0.86,14.72,19.08,11.3,2.82,0.98,0.31,0.17,64.0,Media prioridad,N/A,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
2,2026-05-13,TSLA,Tesla,US88160R1014,USA,N/A,436.68,449.26,453.4,430.21,12.58,2.88,44132235,61528185.55,0.72,12.61,20.44,14.56,17.05,3.8,0.82,0.92,-0.06,61.0,Media prioridad,N/A,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
3,2026-05-13,AAPL,Apple,US0378331005,USA,N/A,293.63,299.21,299.42,293.56,5.58,1.9,22176570,47618958.35,0.47,4.15,10.84,12.39,6.42,2.14,0.97,0.08,0.08,59.0,Baja prioridad,N/A,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
4,2026-05-13,NVDA,Nvidia,US67066G1040,USA,N/A,224.93,226.98,227.84,221.57,2.04,0.91,91874298,147278469.7,0.62,9.19,8.45,14.11,8.11,3.57,0.86,0.38,0.0,56.0,Baja prioridad,N/A,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
5,2026-05-13,AMZN,Amazon,US0231351067,USA,N/A,264.45,270.14,270.17,263.2,5.7,2.15,17689849,45773687.5,0.39,-1.79,2.67,8.67,7.36,2.73,1.0,3.11,0.0,50.0,Baja prioridad,N/A,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
6,2026-05-13,META,Meta Platforms,US30303M1027,USA,N/A,598.81,614.57,614.68,596.66,15.76,2.63,7163526,15581082.55,0.46,0.48,-7.96,-8.3,18.28,2.97,0.99,12.52,0.21,49.0,Baja prioridad,N/A,buen cuerpo alcista. volumen relativo debil. cierre cerca de maximos.
7,2026-05-13,NFLX,Netflix,US64110L1061,USA,N/A,86.48,87.82,87.82,86.28,1.34,1.54,13408230,43205323.1,0.31,-0.45,-4.61,-18.42,2.19,2.49,0.99,24.07,0.06,39.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
8,2026-05-13,MSFT,Microsoft,US5949181045,USA,N/A,402.97,405.61,406.31,401.03,2.64,0.65,12489751,34300609.1,0.36,-1.96,-4.38,-1.31,10.66,2.63,0.87,6.93,0.06,39.0,Descartar,N/A,cuerpo alcista reducido. volumen relativo debil. cierre cerca de maximos.
